File,StartLine,EndLine,ConfigExpr,ConfigList,ConfigValues,Effective
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,295,296,!(defined(CONFIG_32BIT)),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,309,311,defined(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,312,313,!(defined(CONFIG_32BIT)),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,330,332,defined(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,333,334,!(defined(CONFIG_32BIT)),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,362,363,defined(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,47,71,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,81,84,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,104,105,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,123,127,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,133,137,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,161,165,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,171,175,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,208,210,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,264,266,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,267,275,!(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,True
linux-6.18-rc3/arch/riscv/kvm/aia.c,297,299,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,300,308,!(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,True
linux-6.18-rc3/arch/riscv/kvm/aia.c,322,324,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia.c,325,333,!(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,True
